probe_id	group_a_mean_beta	group_b_mean_beta	delta_beta	group_a_n	group_b_n	p_value	abs_delta_beta	direction	fdr	significant	gene	chrom	chromStart	chromEnd	strand	functional_region	is_promoter	dist_to_tss	cgi_relation	cgi_id	annotation_source	predicted_expression_effect	mechanics_basis
cg04519387	0.3623388235294119	0.8322974358974358	-0.4699586123680239	85	39	9.748469174944099e-39	0.4699586123680239	hypomethylated	8.926348274523812e-37	True	OVOL1	chr11	65788966	65788968	+	gene_body	False	4697.0	OpenSea		imputed_from_region_mix	ambiguous	outside_promoter
cg07403258	0.5437267441860465	0.9540948717948715	-0.410368127608825	86	39	1.3037896702811655e-38	0.410368127608825	hypomethylated	1.1553258787943102e-36	True		chr13	111548516	111548518	-	TSS200	True	-269.0	Island		imputed_from_region_mix	activation	promoter_hypomethylation
cg17797940	0.7013609195402297	0.25596842105263157	0.44539249848759815	87	38	2.9569250074228875e-38	0.44539249848759815	hypermethylated	2.538335311059585e-36	True	FNDC3B	chr3	172041728	172041730	+	TSS1500	True	-1415.0	OpenSea		imputed_from_region_mix	silencing	promoter_hypermethylation
cg27429080	0.617175581395349	0.06766315789473684	0.5495124235006121	86	38	4.3572626667360196e-38	0.5495124235006121	hypermethylated	3.6270910744011657e-36	True	DNM3	chr1	171841159	171841161	+	TSS1500	True	-338.0	N_Shore		published_manifest	silencing	promoter_hypermethylation
cg06841499	0.32244022988505755	0.8646052631578947	-0.5421650332728372	87	38	5.883169449278616e-38	0.5421650332728372	hypomethylated	4.7532548462259876e-36	True		chr11	67582169	67582171	+	TSS200	True	-902.0	S_Shelf		imputed_from_region_mix	activation	promoter_hypomethylation
cg11906781	0.6884643678160919	0.2171846153846154	0.47127975243147646	87	39	6.892944346690403e-38	0.47127975243147646	hypermethylated	5.409976605816726e-36	True	BABAM2,MRPL33	chr2	27960526	27960528	-	gene_body	False	15466.0	OpenSea		imputed_from_region_mix	ambiguous	outside_promoter
cg14858267	0.6857953488372093	0.1864487179487179	0.4993466308884914	86	39	2.45392893914251e-37	0.4993466308884914	hypermethylated	1.8556254221755485e-35	True	AC006058.2	chr3	43996267	43996269	-	TSS1500	True	-628.0	Island		published_manifest	silencing	promoter_hypermethylation
cg07790615	0.5504348837209304	0.0666871794871795	0.4837477042337509	86	39	2.499386262122144e-37	0.4837477042337509	hypermethylated	1.8556254221755485e-35	True	RYR2	chr1	237041873	237041875	+	TSS1500	True	-310.0	Island		published_manifest	silencing	promoter_hypermethylation
cg02008627	0.4658229885057472	0.8784923076923078	-0.4126693191865606	87	39	2.5794876203834873e-37	0.4126693191865606	hypomethylated	1.8646980245245894e-35	True	RBFOX1	chr16	6268631	6268633	-	TSS1500	True	-856.0	S_Shore		imputed_from_region_mix	activation	promoter_hypomethylation
cg13294849	0.7045045977011494	0.07495128205128204	0.6295533156498674	87	39	3.15244588409599e-37	0.6295533156498674	hypermethylated	2.1649422109029212e-35	True	SOX2-OT	chr3	181723782	181723784	-	gene_body	False	590.0	N_Shelf		published_manifest	ambiguous	outside_promoter
cg10389812	0.3013267441860465	0.7539435897435897	-0.45261684555754317	86	39	3.0919832246951353e-37	0.45261684555754317	hypomethylated	2.1649422109029212e-35	True	IGF1R	chr15	98914932	98914934	+	TSS1500	True	-593.0	N_Shore		imputed_from_region_mix	activation	promoter_hypomethylation
cg20395967	0.6442406976744186	0.07043333333333333	0.5738073643410853	86	39	3.774914394511898e-37	0.5738073643410853	hypermethylated	2.529192644322971e-35	True	MIR663A,MIR663AHG	chr20	26209710	26209712	-	5UTR_1stExon	True	129.0	Island		published_manifest	silencing	promoter_hypermethylation
cg04574507	0.46510114942528735	0.8834358974358972	-0.4183347480106099	87	39	5.260494255339553e-37	0.4183347480106099	hypomethylated	3.4406137427185123e-35	True	CD1B	chr1	158331247	158331249	-	TSS200	True	-1288.0	OpenSea		imputed_from_region_mix	activation	promoter_hypomethylation
cg00297966	0.40857586206896573	0.8500307692307693	-0.4414549071618035	87	39	7.845855119695452e-37	0.4414549071618035	hypomethylated	5.012224189256606e-35	True	NSMCE2	chr8	125174466	125174468	+	TSS200	True	-729.0	OpenSea		imputed_from_region_mix	activation	promoter_hypomethylation
cg11426075	0.7105011627906979	0.1762333333333333	0.5342678294573646	86	39	9.370309901281251e-37	0.5342678294573646	hypermethylated	5.850054840640818e-35	True	AL034417.2,ERRFI1	chr1	8026898	8026900	+	5UTR_1stExon	True	161.0	S_Shore		published_manifest	silencing	promoter_hypermethylation
cg11589139	0.6018195402298853	0.13135641025641023	0.47046312997347506	87	39	1.2136717668000362e-36	0.47046312997347506	hypermethylated	7.317032137201381e-35	True	ACTA1	chr1	229431391	229431393	+	gene_body	False	14253.0	OpenSea		imputed_from_region_mix	ambiguous	outside_promoter
cg14817783	0.4835999999999999	0.9019000000000004	-0.41830000000000045	87	38	1.2252765864989571e-36	0.41830000000000045	hypomethylated	7.317032137201381e-35	True	CCDC173,KLHL23;PHOSPHO2	chr2	169695234	169695236	-	gene_body	False	18306.0	OpenSea		imputed_from_region_mix	ambiguous	outside_promoter
cg10083417	0.4062137931034483	0.8393794871794871	-0.4331656940760388	87	39	1.3373344334026187e-36	0.4331656940760388	hypomethylated	7.816292954376582e-35	True		chr16	17724650	17724652	-	gene_body	False	28563.0	Island		imputed_from_region_mix	ambiguous	outside_promoter
cg11082691	0.6682701149425285	0.2138564102564103	0.4544137046861182	87	39	1.4962660356026014e-36	0.4544137046861182	hypermethylated	8.563005832917387e-35	True	TNFRSF19	chr13	23609526	23609528	-	TSS1500	True	-429.0	S_Shore		imputed_from_region_mix	silencing	promoter_hypermethylation
cg19619405	0.5249034482758619	0.06733589743589743	0.4575675508399645	87	39	2.7620901924168223e-36	0.4575675508399645	hypermethylated	1.548461583381431e-34	True	ADAMTS20	chr12	43552088	43552090	-	5UTR_1stExon	True	115.0	Island		published_manifest	silencing	promoter_hypermethylation
cg14555736	0.4194482758620688	0.8955948717948717	-0.47614659593280295	87	39	8.174338367447081e-36	0.47614659593280295	hypomethylated	4.490981499075426e-34	True	TMEM132C	chr12	128368436	128368438	+	gene_body	False	24375.0	OpenSea		imputed_from_region_mix	ambiguous	outside_promoter
cg00564737	0.7168930232558142	0.17055789473684208	0.5463351285189721	86	38	1.1328751306796149e-35	0.5463351285189721	hypermethylated	6.101976439170397e-34	True	BX248415.1	chr1	196878051	196878053	+	gene_body	False	27769.0	Island		published_manifest	ambiguous	outside_promoter
cg00076195	0.6777091954022989	0.13192051282051281	0.5457886825817861	87	39	1.4112305911955218e-35	0.5457886825817861	hypermethylated	7.314434781158676e-34	True		chr5	141513109	141513111	+	intergenic	True	0.0	Island		published_manifest	silencing	promoter_hypermethylation
cg12743248	0.4041103448275864	0.8578256410256412	-0.4537152961980548	87	39	1.3939217459405365e-35	0.4537152961980548	hypomethylated	7.314434781158676e-34	True	EFCAB1	chr8	48724280	48724282	+	gene_body	False	10548.0	OpenSea		imputed_from_region_mix	ambiguous	outside_promoter
cg20386316	0.5785620689655172	0.12177179487179488	0.4567902740937223	87	39	1.5058029620634132e-35	0.4567902740937223	hypermethylated	7.66007543849666e-34	True	EYA1	chr8	71558746	71558748	-	TSS200	True	-298.0	N_Shore		imputed_from_region_mix	silencing	promoter_hypermethylation
cg05548130	0.4386290697674418	0.9021666666666665	-0.46353759689922464	86	39	1.772886341900722e-35	0.46353759689922464	hypomethylated	8.854761420365969e-34	True		chr10	129022501	129022503	-	TSS1500	True	-351.0	OpenSea		imputed_from_region_mix	activation	promoter_hypomethylation
cg16692653	0.4670632183908047	0.8556179487179488	-0.3885547303271441	87	39	2.841943746572481e-35	0.3885547303271441	hypomethylated	1.3940749056847509e-33	True		chr11	131098756	131098758	+	TSS200	True	-194.0	OpenSea		imputed_from_region_mix	activation	promoter_hypomethylation
cg15873474	0.4498643678160919	0.8508051282051283	-0.4009407603890364	87	39	6.872803287357477e-35	0.4009407603890364	hypomethylated	3.312208882521226e-33	True	CDH4	chr20	61870941	61870943	+	gene_body	False	27090.0	OpenSea		imputed_from_region_mix	ambiguous	outside_promoter
cg02930348	0.4376965517241379	0.8516025641025639	-0.41390601237842595	87	39	7.677493002187603e-35	0.41390601237842595	hypomethylated	3.636219530518853e-33	True	CDH4	chr20	61393882	61393884	+	TSS1500	True	-527.0	Island		imputed_from_region_mix	activation	promoter_hypomethylation
cg05422029	0.5998141176470588	0.08932820512820513	0.5104859125188537	85	39	1.861027822356439e-34	0.5104859125188537	hypermethylated	8.664819369513793e-33	True	AL021808.1	chr6	27268063	27268065	-	TSS200	True	-49.0	OpenSea		published_manifest	silencing	promoter_hypermethylation
cg07936456	0.4922802325581396	0.8824282051282051	-0.3901479725700655	86	39	2.3548042025493372e-34	0.3901479725700655	hypomethylated	1.078107857400505e-32	True	RBFOX1	chr16	7658057	7658059	-	5UTR_1stExon	False	28543.0	OpenSea		imputed_from_region_mix	ambiguous	outside_promoter
cg10903903	0.6248895348837212	0.07950769230769228	0.545381842576029	86	39	2.7064804600492655e-34	0.545381842576029	hypermethylated	1.2188035776648086e-32	True	AL009179.2	chr6	27680063	27680065	+	5UTR_1stExon	True	492.0	Island		published_manifest	silencing	promoter_hypermethylation
cg26151206	0.49061379310344827	0.8878897435897439	-0.39727595048629566	87	39	5.7678563748697785e-34	0.39727595048629566	hypomethylated	2.5555324938334325e-32	True	OR10K2	chr1	158420858	158420860	-	gene_body	False	38242.0	OpenSea		imputed_from_region_mix	ambiguous	outside_promoter
cg13445796	0.5007114942528736	0.06598974358974359	0.43472175066313007	87	39	6.965665494847451e-34	0.43472175066313007	hypermethylated	3.03725128799142e-32	True	DBX1	chr11	20160178	20160180	+	5UTR_1stExon	False	13637.0	N_Shelf		imputed_from_region_mix	ambiguous	outside_promoter
cg13422275	0.5338816091954022	0.9356210526315788	-0.4017394434361766	87	38	7.975437462713654e-34	0.4017394434361766	hypomethylated	3.4232072984491265e-32	True	RIMBP2	chr12	130592836	130592838	+	gene_body	False	14416.0	OpenSea		imputed_from_region_mix	ambiguous	outside_promoter
cg25247290	0.6061068965517241	0.13582564102564107	0.470281255526083	87	39	8.584600510287852e-34	0.470281255526083	hypermethylated	3.627984246424728e-32	True	AL049692.2,AL049692.4;WT1-AS	chr11	32439665	32439667	+	gene_body	False	9316.0	Island		imputed_from_region_mix	ambiguous	outside_promoter
cg13894852	0.2930197674418605	0.869853846153846	-0.5768340787119854	86	39	1.073450216891816e-33	0.5768340787119854	hypomethylated	4.467829917881543e-32	True	AC091180.5,EIF4EP2	chr17	49424935	49424937	+	TSS200	True	-830.0	OpenSea		imputed_from_region_mix	activation	promoter_hypomethylation
cg12598524	0.6603574712643677	0.1513282051282051	0.5090292661361626	87	39	1.1189412650925774e-33	0.5090292661361626	hypermethylated	4.555035391222548e-32	True	PRKCE	chr2	45861185	45861187	+	gene_body	False	185567.0	OpenSea		published_manifest	ambiguous	outside_promoter
cg01372939	0.4089770114942529	0.826382051282051	-0.4174050397877981	87	39	1.1275660961162479e-33	0.4174050397877981	hypomethylated	4.555035391222548e-32	True	AC074051.3	chr16	5233416	5233418	+	gene_body	False	14264.0	N_Shore		imputed_from_region_mix	ambiguous	outside_promoter
cg05970721	0.4218850574712645	0.8869435897435896	-0.4650585322723251	87	39	1.3999279404347655e-33	0.4650585322723251	hypomethylated	5.573336307788842e-32	True	HS3ST2	chr16	22915303	22915305	-	TSS1500	True	-1369.0	Island		imputed_from_region_mix	activation	promoter_hypomethylation
cg12756527	0.47891954022988503	0.8726105263157894	-0.39369098608590436	87	38	1.8941530682900557e-33	0.39369098608590436	hypomethylated	7.433197826561119e-32	True	CELF2	chr10	11242584	11242586	+	gene_body	False	22392.0	N_Shore		imputed_from_region_mix	ambiguous	outside_promoter
cg08533934	0.5012837209302327	0.9196410256410257	-0.418357304710793	86	39	2.0868569471211112e-33	0.418357304710793	hypomethylated	8.074078920762947e-32	True		chr20	60965214	60965216	-	TSS200	True	-14.0	OpenSea		imputed_from_region_mix	activation	promoter_hypomethylation
cg21624902	0.5856402298850576	0.10616153846153846	0.4794786914235191	87	39	2.738877433270853e-33	0.4794786914235191	hypermethylated	1.0449578207215325e-31	True		chr3	138960515	138960517	+	gene_body	False	1125.0	Island		imputed_from_region_mix	ambiguous	outside_promoter
cg08958294	0.5035770114942528	0.07177179487179487	0.43180521662245797	87	39	3.865305079107487e-33	0.43180521662245797	hypermethylated	1.4348639259876034e-31	True	GRM1	chr6	146028994	146028996	+	gene_body	False	9910.0	Island		imputed_from_region_mix	ambiguous	outside_promoter
cg17326769	0.8573953488372094	0.08739743589743589	0.7699979129397735	86	39	4.329640465683876e-33	0.7699979129397735	hypermethylated	1.5858029812311477e-31	True	HCK	chr20	32051901	32051903	+	gene_body	False	23393.0	S_Shore		imputed_from_region_mix	ambiguous	outside_promoter
cg00098144	0.6452816091954022	0.20373589743589743	0.4415457117595048	87	39	5.166142646106725e-33	0.4415457117595048	hypermethylated	1.8672886643230494e-31	True		chr4	13523610	13523612	+	gene_body	False	6040.0	Island		imputed_from_region_mix	ambiguous	outside_promoter
cg23205034	0.3419197674418604	0.8485891891891892	-0.5066694217473289	86	37	5.7975026944609816e-33	0.5066694217473289	hypomethylated	2.0682779093096512e-31	True	CPQ	chr8	97104218	97104220	-	gene_body	False	74750.0	OpenSea		published_manifest	ambiguous	outside_promoter
cg02534163	0.5881395348837208	0.08655897435897435	0.5015805605247465	86	39	6.847638358704296e-33	0.5015805605247465	hypermethylated	2.381071211564646e-31	True	ENPP2	chr8	119638753	119638755	-	5UTR_1stExon	True	27.0	OpenSea		published_manifest	silencing	promoter_hypermethylation
cg08104202	0.5045919540229885	0.0778051282051282	0.4267868258178603	87	39	7.280525351814829e-33	0.4267868258178603	hypermethylated	2.499950392679417e-31	True	CCDC181	chr1	169427473	169427475	-	TSS1500	True	-70.0	S_Shelf		imputed_from_region_mix	silencing	promoter_hypermethylation
cg20072171	0.5379574712643679	0.07109487179487181	0.46686259946949604	87	39	7.700847404745501e-33	0.46686259946949604	hypermethylated	2.6116330643007273e-31	True	FEZF2	chr3	62371286	62371288	+	TSS1500	True	-1450.0	OpenSea		imputed_from_region_mix	silencing	promoter_hypermethylation
cg05502478	0.46711724137931027	0.8781717948717952	-0.41105455349248493	87	39	8.931407864716679e-33	0.41105455349248493	hypomethylated	2.9920216346800876e-31	True	MCF2L2	chr3	183193771	183193773	-	gene_body	False	3570.0	OpenSea		imputed_from_region_mix	ambiguous	outside_promoter
cg15811568	0.4313551724137929	0.8522076923076923	-0.42085251989389943	87	39	9.427534497458788e-33	0.42085251989389943	hypomethylated	3.1201731643999147e-31	True	AC063926.1,RIMBP2	chr12	130420300	130420302	-	gene_body	False	7582.0	Island		imputed_from_region_mix	ambiguous	outside_promoter
cg09790780	0.414232183908046	0.822405128205128	-0.408172944297082	87	39	1.0863330514684536e-32	0.408172944297082	hypomethylated	3.552567729028384e-31	True	RBFOX1	chr16	7432011	7432013	+	gene_body	False	24943.0	N_Shelf		imputed_from_region_mix	ambiguous	outside_promoter
cg05583676	0.5858302325581395	0.9474615384615385	-0.361631305903399	86	39	1.265686900741889e-32	0.361631305903399	hypomethylated	4.090402254515257e-31	True		chr10	130662981	130662983	+	gene_body	False	15707.0	Island		imputed_from_region_mix	ambiguous	outside_promoter
cg04311653	0.3760294117647057	0.8950769230769229	-0.5190475113122172	85	39	2.3380259280399996e-32	0.5190475113122172	hypomethylated	7.382249683133193e-31	True		chr10	131405977	131405979	+	intergenic	True	0.0	OpenSea		published_manifest	activation	promoter_hypomethylation
cg13703871	0.5338402298850575	0.08564358974358974	0.44819664014146776	87	39	2.3367493559698504e-32	0.44819664014146776	hypermethylated	7.382249683133193e-31	True	ZNF177,ZNF559-ZNF177	chr19	9362997	9362999	+	TSS1500	True	-29.0	Island		imputed_from_region_mix	silencing	promoter_hypermethylation
cg06719334	0.3884505747126437	0.8446564102564101	-0.4562058355437664	87	39	2.6980107763127753e-32	0.4562058355437664	hypomethylated	8.422085911967266e-31	True	RBFOX1	chr16	7451306	7451308	-	5UTR_1stExon	False	21384.0	OpenSea		imputed_from_region_mix	ambiguous	outside_promoter
cg15644639	0.4580551724137934	0.8736384615384619	-0.4155832891246685	87	39	3.39403523472199e-32	0.4155832891246685	hypomethylated	1.0475746954810457e-30	True	TATDN1	chr8	124526699	124526701	+	intergenic	False	21993.0	OpenSea		imputed_from_region_mix	ambiguous	outside_promoter
cg17560832	0.4938022988505747	0.9115205128205128	-0.41771821396993813	87	39	3.853877743483063e-32	0.41771821396993813	hypomethylated	1.1762891290386638e-30	True	AL355537.1	chr10	128959071	128959073	-	5UTR_1stExon	False	29635.0	N_Shore		imputed_from_region_mix	ambiguous	outside_promoter
cg17656890	0.36465116279069765	0.8258051282051281	-0.46115396541443043	86	39	5.794549508806362e-32	0.46115396541443043	hypomethylated	1.7491898352407776e-30	True		chr7	156062877	156062879	+	intergenic	False	7123.0	OpenSea		imputed_from_region_mix	ambiguous	outside_promoter
cg27170427	0.46476091954022974	0.9174368421052632	-0.4526759225650335	87	38	6.665278973120749e-32	0.4526759225650335	hypomethylated	1.9901653629524672e-30	True	RIMBP2	chr12	130474165	130474167	-	5UTR_1stExon	False	38068.0	Island		imputed_from_region_mix	ambiguous	outside_promoter
cg13879483	0.6348080459770115	0.0811153846153846	0.5536926613616269	87	39	6.900222031589471e-32	0.5536926613616269	hypermethylated	2.0381623570727177e-30	True	USP44	chr12	95549130	95549132	-	TSS1500	True	-286.0	Island		published_manifest	silencing	promoter_hypermethylation
cg08481075	0.6387825581395352	0.0880051282051282	0.550777429934407	86	39	7.053990900294911e-32	0.550777429934407	hypermethylated	2.061416276926609e-30	True	COL11A2	chr6	33193550	33193552	-	TSS1500	True	-1051.0	Island		published_manifest	silencing	promoter_hypermethylation
cg00602115	0.46603103448275845	0.8961692307692306	-0.43013819628647215	87	39	8.611812710284893e-32	0.43013819628647215	hypomethylated	2.4901736331739577e-30	True	DTNA	chr18	34819022	34819024	-	5UTR_1stExon	False	38711.0	Island		imputed_from_region_mix	ambiguous	outside_promoter
cg19378892	0.5131459770114941	0.9034871794871796	-0.3903412024756855	87	39	9.094084971937226e-32	0.3903412024756855	hypomethylated	2.6022345226991212e-30	True	OR10J3	chr1	159313745	159313747	+	5UTR_1stExon	False	4267.0	Island		imputed_from_region_mix	ambiguous	outside_promoter
cg09149672	0.5376873563218392	0.9137564102564104	-0.37606905393457124	87	39	9.683480051416735e-32	0.37606905393457124	hypomethylated	2.7423216186847188e-30	True	CD1C	chr1	158291360	158291362	-	TSS1500	True	-738.0	S_Shore		imputed_from_region_mix	activation	promoter_hypomethylation
cg24138857	0.6854183908045977	0.2061692307692308	0.4792491600353669	87	39	1.224187562722786e-31	0.4792491600353669	hypermethylated	3.431472688570911e-30	True	TNXB	chr6	32087301	32087303	+	intergenic	False	16628.0	Island		imputed_from_region_mix	ambiguous	outside_promoter
cg18221016	0.38270000000000004	0.8176500000000001	-0.43495000000000006	87	38	1.3526124682666056e-31	0.43495000000000006	hypomethylated	3.753158030634713e-30	True	HMCN1	chr1	185965118	185965120	-	TSS1500	True	-8.0	OpenSea		imputed_from_region_mix	activation	promoter_hypomethylation
