panel_rank	probe_id	group_a_mean_beta	group_b_mean_beta	delta_beta	group_a_n	group_b_n	p_value	abs_delta_beta	direction	fdr	significant	gene	chrom	chromStart	chromEnd	strand	functional_region	is_promoter	dist_to_tss	cgi_relation	cgi_id	annotation_source	predicted_expression_effect	mechanics_basis
15	cg20981848	0.7732127906976747	0.1998333333333333	0.5733794573643414	86	39	3.23605141349805e-25	0.5733794573643414	hypermethylated	4.004249203999614e-24	True	AL035448.1,BTBD3	chr20	11918609	11918611	-	5UTR_1stExon	True	68.0	OpenSea		published_manifest	silencing	promoter_hypermethylation
16	cg27071152	0.7042623529411762	0.13682051282051286	0.5674418401206633	85	39	3.8605461307670556e-21	0.5674418401206633	hypermethylated	3.409942193317396e-20	True	AC004837.1,AC004837.3;YAE1	chr7	39609843	39609845	-	5UTR_1stExon	True	127.0	Island		published_manifest	silencing	promoter_hypermethylation
17	cg09887059	0.6771563218390808	0.11153846153846153	0.5656178603006192	87	39	3.984063128524216e-24	0.5656178603006192	hypermethylated	4.4853366451049267e-23	True	LHX5-AS1	chr12	113478858	113478860	-	gene_body	False	6856.0	Island		published_manifest	ambiguous	outside_promoter
18	cg27319917	0.7528965517241382	0.19160512820512826	0.5612914235190098	87	39	2.1687463261066426e-25	0.5612914235190098	hypermethylated	2.770951701309278e-24	True	AC026470.2,N4BP1	chr16	48558782	48558784	-	gene_body	False	17032.0	OpenSea		imputed_from_region_mix	ambiguous	outside_promoter
19	cg20197130	0.28456781609195403	0.845669230769231	-0.5611014146772769	87	39	5.255906893871511e-45	0.5611014146772769	hypomethylated	2.8875952474930086e-42	True	LINC00944	chr12	126772170	126772172	+	gene_body	False	7384.0	S_Shore		imputed_from_region_mix	ambiguous	outside_promoter
20	cg00266983	0.7115218390804601	0.15136153846153844	0.5601603006189216	87	39	3.263978979748165e-41	0.5601603006189216	hypermethylated	5.97743350491214e-39	True		chr7	1237884	1237886	+	gene_body	False	15693.0	Island		imputed_from_region_mix	ambiguous	outside_promoter
21	cg18661205	0.7524390804597697	0.19365641025641026	0.5587826702033595	87	39	6.517955590112179e-43	0.5587826702033595	hypermethylated	1.946278087061601e-40	True	AC244517.10,AC244517.11;PCDHB18P	chr5	141234311	141234313	+	gene_body	False	34380.0	N_Shore		imputed_from_region_mix	ambiguous	outside_promoter
22	cg13879483	0.6348080459770115	0.0811153846153846	0.5536926613616269	87	39	6.900222031589471e-32	0.5536926613616269	hypermethylated	2.0381623570727177e-30	True	USP44	chr12	95549130	95549132	-	TSS1500	True	-286.0	Island		published_manifest	silencing	promoter_hypermethylation
23	cg08481075	0.6387825581395352	0.0880051282051282	0.550777429934407	86	39	7.053990900294911e-32	0.550777429934407	hypermethylated	2.061416276926609e-30	True	COL11A2	chr6	33193550	33193552	-	TSS1500	True	-1051.0	Island		published_manifest	silencing	promoter_hypermethylation
24	cg21199093	0.7581873563218391	0.20744615384615378	0.5507412024756853	87	39	5.027006482694558e-17	0.5507412024756853	hypermethylated	3.2645831697309573e-16	True	ZMYM4	chr1	35370407	35370409	+	gene_body	False	8691.0	OpenSea		published_manifest	ambiguous	outside_promoter
25	cg25200152	0.771398837209302	0.22097179487179489	0.5504270423375072	86	39	4.556603265720119e-14	0.5504270423375072	hypermethylated	2.559711486898398e-13	True	AC245100.1,AC245100.5;LINC01138	chr1	148318341	148318343	+	TSS1500	True	-328.0	S_Shore		published_manifest	silencing	promoter_hypermethylation
26	cg26432869	0.8410954022988505	0.29141025641025636	0.5496851458885941	87	39	5.010056745388392e-22	0.5496851458885941	hypermethylated	4.633880767535998e-21	True		chr8	122338972	122338974	+	intergenic	False	19418.0	Island		imputed_from_region_mix	ambiguous	outside_promoter
27	cg27429080	0.617175581395349	0.06766315789473684	0.5495124235006121	86	38	4.3572626667360196e-38	0.5495124235006121	hypermethylated	3.6270910744011657e-36	True	DNM3	chr1	171841159	171841161	+	TSS1500	True	-338.0	N_Shore		published_manifest	silencing	promoter_hypermethylation
28	cg07149609	0.6287448275862071	0.07994871794871794	0.5487961096374891	87	39	4.3046704082892836e-26	0.5487961096374891	hypermethylated	6.064066467472134e-25	True	PRRX1	chr1	170661592	170661594	+	TSS1500	True	-1135.0	Island		published_manifest	silencing	promoter_hypermethylation
29	cg18322569	0.6998011627906979	0.15129230769230764	0.5485088550983903	86	39	1.3632993183928062e-17	0.5485088550983903	hypermethylated	9.315878675684175e-17	True	BARHL2	chr1	90717219	90717221	-	5UTR_1stExon	True	83.0	Island		published_manifest	silencing	promoter_hypermethylation
30	cg08159989	0.843171264367816	0.29555384615384617	0.5476174182139698	87	39	3.231010100242989e-29	0.5476174182139698	hypermethylated	6.723927837399615e-28	True	KLHDC8A	chr1	205356942	205356944	-	gene_body	False	6697.0	Island		imputed_from_region_mix	ambiguous	outside_promoter
31	cg00564737	0.7168930232558142	0.17055789473684208	0.5463351285189721	86	38	1.1328751306796149e-35	0.5463351285189721	hypermethylated	6.101976439170397e-34	True	BX248415.1	chr1	196878051	196878053	+	gene_body	False	27769.0	Island		published_manifest	ambiguous	outside_promoter
32	cg00076195	0.6777091954022989	0.13192051282051281	0.5457886825817861	87	39	1.4112305911955218e-35	0.5457886825817861	hypermethylated	7.314434781158676e-34	True		chr5	141513109	141513111	+	intergenic	True	0.0	Island		published_manifest	silencing	promoter_hypermethylation
33	cg10903903	0.6248895348837212	0.07950769230769228	0.545381842576029	86	39	2.7064804600492655e-34	0.545381842576029	hypermethylated	1.2188035776648086e-32	True	AL009179.2	chr6	27680063	27680065	+	5UTR_1stExon	True	492.0	Island		published_manifest	silencing	promoter_hypermethylation
34	cg26354493	0.8125186046511621	0.2699435897435897	0.5425750149075724	86	39	1.5900622665818854e-23	0.5425750149075724	hypermethylated	1.692984901666837e-22	True	FSD1	chr19	4305074	4305076	-	5UTR_1stExon	True	375.0	Island		published_manifest	silencing	promoter_hypermethylation
35	cg06841499	0.32244022988505755	0.8646052631578947	-0.5421650332728372	87	38	5.883169449278616e-38	0.5421650332728372	hypomethylated	4.7532548462259876e-36	True		chr11	67582169	67582171	+	TSS200	True	-902.0	S_Shelf		imputed_from_region_mix	activation	promoter_hypomethylation
36	cg08387538	0.37473488372093045	0.9136487179487179	-0.5389138342277875	86	39	1.696842191082198e-39	0.5389138342277875	hypomethylated	2.1187388631376354e-37	True	DLGAP2,DLGAP2-AS1	chr8	1579828	1579830	+	gene_body	False	31185.0	OpenSea		published_manifest	ambiguous	outside_promoter
37	cg02830936	0.783318390804598	0.2488820512820513	0.5344363395225467	87	39	1.0400899427714023e-18	0.5344363395225467	hypermethylated	7.639377199981396e-18	True	EIF3I,MTMR9LP	chr1	32242883	32242885	+	gene_body	False	6862.0	Island		imputed_from_region_mix	ambiguous	outside_promoter
38	cg11426075	0.7105011627906979	0.1762333333333333	0.5342678294573646	86	39	9.370309901281251e-37	0.5342678294573646	hypermethylated	5.850054840640818e-35	True	AL034417.2,ERRFI1	chr1	8026898	8026900	+	5UTR_1stExon	True	161.0	S_Shore		published_manifest	silencing	promoter_hypermethylation
39	cg25708982	0.3102441860465116	0.8438052631578947	-0.5335610771113831	86	38	6.501245080121989e-41	0.5335610771113831	hypomethylated	1.116182514693444e-38	True		chr13	112241116	112241118	+	TSS1500	True	-1240.0	OpenSea		imputed_from_region_mix	activation	promoter_hypomethylation
40	cg16370398	0.8595127906976747	0.3273692307692308	0.5321435599284439	86	39	2.787444600312197e-14	0.5321435599284439	hypermethylated	1.591914826831103e-13	True	HOXC4	chr12	54055128	54055130	-	gene_body	False	1294.0	S_Shore		published_manifest	ambiguous	outside_promoter
41	cg01518607	0.7413885057471264	0.20947692307692306	0.5319115826702034	87	39	1.0391874835705202e-15	0.5319115826702034	hypermethylated	6.329596490838623e-15	True	AL021808.1	chr6	27268111	27268113	-	TSS200	True	-1.0	OpenSea		published_manifest	silencing	promoter_hypermethylation
42	cg00991875	0.6248436781609195	0.0951282051282051	0.5297154730327144	87	39	6.66575812214242e-27	0.5297154730327144	hypermethylated	1.0172687534180682e-25	True		chr6	160679343	160679345	-	intergenic	True	0.0	Island		published_manifest	silencing	promoter_hypermethylation
43	cg20150982	0.7702639534883723	0.24333076923076924	0.526933184257603	86	39	8.925032572374728e-14	0.526933184257603	hypermethylated	4.962968517472343e-13	True	MIR100HG	chr11	122440949	122440951	+	5UTR_1stExon	False	17968.0	S_Shore		imputed_from_region_mix	ambiguous	outside_promoter
44	cg08070771	0.7226068965517242	0.19697435897435894	0.5256325375773652	87	39	1.1976414835246662e-19	0.5256325375773652	hypermethylated	9.346366918301869e-19	True	ZIC1,ZIC4	chr3	147407970	147407972	+	TSS1500	True	-752.0	S_Shore		imputed_from_region_mix	silencing	promoter_hypermethylation
45	cg01408508	0.7788655172413792	0.2532351351351352	0.525630382106244	87	37	4.864379662590001e-21	0.525630382106244	hypermethylated	4.2020285953253877e-20	True	MIR663AHG	chr20	26208002	26208004	+	5UTR_1stExon	True	41.0	Island		published_manifest	silencing	promoter_hypermethylation
46	cg17154724	0.5889325581395347	0.0651974358974359	0.5237351222420988	86	39	3.448844613144223e-31	0.5237351222420988	hypermethylated	9.19803509932736e-30	True	DNM3	chr1	171841181	171841183	+	TSS1500	True	-316.0	N_Shore		published_manifest	silencing	promoter_hypermethylation
47	cg00765705	0.7527517241379311	0.22985384615384616	0.5228978779840849	87	39	8.401082951263338e-17	0.5228978779840849	hypermethylated	5.404631116421637e-16	True	NCOR2	chr12	124380583	124380585	+	gene_body	False	37882.0	S_Shelf		imputed_from_region_mix	ambiguous	outside_promoter
48	cg15219228	0.6412860465116276	0.1184692307692308	0.5228168157423968	86	39	8.529312850888582e-20	0.5228168157423968	hypermethylated	6.75216783901756e-19	True	TULP1	chr6	35511850	35511852	-	5UTR_1stExon	True	117.0	Island		published_manifest	silencing	promoter_hypermethylation
49	cg03692651	0.6169287356321839	0.09551578947368422	0.5214129461584996	87	38	1.0863029022556713e-16	0.5214129461584996	hypermethylated	6.939707145340301e-16	True		chr19	22261790	22261792	+	5UTR_1stExon	False	26533.0	OpenSea		imputed_from_region_mix	ambiguous	outside_promoter
50	cg12468774	0.6261850574712643	0.10526153846153849	0.5209235190097258	87	39	1.7731168666236156e-31	0.5209235190097258	hypermethylated	4.8225267649654175e-30	True	IHO1	chr3	49199426	49199428	+	TSS200	True	-71.0	Island		published_manifest	silencing	promoter_hypermethylation
51	cg00334063	0.6719639534883722	0.1517	0.5202639534883722	86	39	4.989885831393864e-19	0.5202639534883722	hypermethylated	3.755401747627108e-18	True	ZIC4	chr3	147388222	147388224	+	gene_body	False	4169.0	N_Shelf		published_manifest	ambiguous	outside_promoter
52	cg04311653	0.3760294117647057	0.8950769230769229	-0.5190475113122172	85	39	2.3380259280399996e-32	0.5190475113122172	hypomethylated	7.382249683133193e-31	True		chr10	131405977	131405979	+	intergenic	True	0.0	OpenSea		published_manifest	activation	promoter_hypomethylation
53	cg02710296	0.7482470588235294	0.22936153846153842	0.518885520361991	85	39	4.95575916648102e-17	0.518885520361991	hypermethylated	3.2259408602661997e-16	True	SHCBP1L	chr1	182952715	182952717	-	5UTR_1stExon	True	34.0	Island		published_manifest	silencing	promoter_hypermethylation
54	cg05937737	0.6765574712643677	0.15831578947368424	0.5182416817906834	87	38	1.8999590574839822e-25	0.5182416817906834	hypermethylated	2.4632704222010417e-24	True	AC026316.4,SLC7A14;SLC7A14-AS1	chr3	170585750	170585752	-	TSS1500	True	-1313.0	Island		imputed_from_region_mix	silencing	promoter_hypermethylation
55	cg07600533	0.8006500000000001	0.2824205128205128	0.5182294871794872	86	39	6.143269301122115e-18	0.5182294871794872	hypermethylated	4.2940358193848475e-17	True	KLHDC7B	chr22	50547601	50547603	-	gene_body	False	22717.0	N_Shore		imputed_from_region_mix	ambiguous	outside_promoter
56	cg21334513	0.7057781609195397	0.18796666666666667	0.5178114942528731	87	39	2.762836455406982e-22	0.5178114942528731	hypermethylated	2.6083054430037927e-21	True		chr6	30127470	30127472	+	intergenic	False	3266.0	OpenSea		imputed_from_region_mix	ambiguous	outside_promoter
57	cg08604097	0.585743023255814	0.07021794871794872	0.5155250745378652	86	39	4.0548365491790165e-40	0.5155250745378652	hypermethylated	5.862440000313031e-38	True	NXPH1	chr7	8441234	8441236	+	gene_body	False	6040.0	N_Shore		published_manifest	ambiguous	outside_promoter
58	cg02027945	0.5788597701149429	0.06399999999999999	0.514859770114943	87	39	7.120422307237847e-39	0.514859770114943	hypermethylated	7.523000029993217e-37	True	AC090707.2	chr11	20596683	20596685	+	5UTR_1stExon	True	296.0	Island		published_manifest	silencing	promoter_hypermethylation
59	cg06962177	0.6441287356321839	0.13014736842105265	0.5139813672111312	87	38	8.321699140241775e-19	0.5139813672111312	hypermethylated	6.12860791910031e-18	True		chr1	63320274	63320276	+	intergenic	True	0.0	Island		published_manifest	silencing	promoter_hypermethylation
60	cg15613420	0.6515459770114943	0.1384394736842105	0.5131065033272838	87	38	1.1723124086508124e-26	0.5131065033272838	hypermethylated	1.7407255062506928e-25	True	AC026691.1,MACROH2A1	chr5	135399946	135399948	-	TSS200	True	-32.0	S_Shore		published_manifest	silencing	promoter_hypermethylation
61	cg18423935	0.7651781609195402	0.2524051282051281	0.512773032714412	87	39	3.867889540685524e-28	0.512773032714412	hypermethylated	6.767574884244035e-27	True	AC072026.2,STXBP5L	chr3	120907819	120907821	-	5UTR_1stExon	True	86.0	N_Shore		published_manifest	silencing	promoter_hypermethylation
62	cg11213690	0.6262850574712645	0.11394102564102564	0.5123440318302389	87	39	1.1638079387571405e-20	0.5123440318302389	hypermethylated	9.717265677099893e-20	True		chr7	149415310	149415312	-	intergenic	True	0.0	Island		published_manifest	silencing	promoter_hypermethylation
63	cg21648069	0.824858620689655	0.3134820512820512	0.5113765694076038	87	39	1.3192770899133835e-17	0.5113765694076038	hypermethylated	9.060135414980162e-17	True	ERC1	chr12	1048551	1048553	-	TSS1500	True	-240.0	OpenSea		imputed_from_region_mix	silencing	promoter_hypermethylation
64	cg14861089	0.6036402298850575	0.09273076923076924	0.5109094606542882	87	39	9.570781494387773e-31	0.5109094606542882	hypermethylated	2.3418554288615252e-29	True	TLX1	chr10	101135285	101135287	+	gene_body	False	972.0	Island		published_manifest	ambiguous	outside_promoter
65	cg05422029	0.5998141176470588	0.08932820512820513	0.5104859125188537	85	39	1.861027822356439e-34	0.5104859125188537	hypermethylated	8.664819369513793e-33	True	AL021808.1	chr6	27268063	27268065	-	TSS200	True	-49.0	OpenSea		published_manifest	silencing	promoter_hypermethylation
66	cg08364561	0.6580558139534883	0.147874358974359	0.5101814549791294	86	39	1.8174473962829113e-20	0.5101814549791294	hypermethylated	1.5037734932497462e-19	True	AL035078.4,PAUPAR	chr11	31825296	31825298	-	TSS1500	True	-1026.0	N_Shore		published_manifest	silencing	promoter_hypermethylation
67	cg12598524	0.6603574712643677	0.1513282051282051	0.5090292661361626	87	39	1.1189412650925774e-33	0.5090292661361626	hypermethylated	4.555035391222548e-32	True	PRKCE	chr2	45861185	45861187	+	gene_body	False	185567.0	OpenSea		published_manifest	ambiguous	outside_promoter
68	cg10715092	0.6568149425287357	0.1491794871794872	0.5076354553492486	87	39	1.2091097313198757e-22	0.5076354553492486	hypermethylated	1.1736482091645579e-21	True	MIR663A,MIR663AHG	chr20	26209717	26209719	-	5UTR_1stExon	True	122.0	S_Shore		published_manifest	silencing	promoter_hypermethylation
69	cg12041100	0.32453563218390824	0.8313973684210527	-0.5068617362371445	87	38	5.653219831361202e-26	0.5068617362371445	hypomethylated	7.843128725630921e-25	True	RAPGEFL1	chr17	40180935	40180937	+	intergenic	False	13639.0	Island		imputed_from_region_mix	ambiguous	outside_promoter
70	cg23205034	0.3419197674418604	0.8485891891891892	-0.5066694217473289	86	37	5.7975026944609816e-33	0.5066694217473289	hypomethylated	2.0682779093096512e-31	True	CPQ	chr8	97104218	97104220	-	gene_body	False	74750.0	OpenSea		published_manifest	ambiguous	outside_promoter
71	cg15425541	0.704955172413793	0.19853589743589742	0.5064192749778956	87	39	8.866245125970201e-20	0.5064192749778956	hypermethylated	6.99872855202303e-19	True	SIX1	chr14	60652032	60652034	+	gene_body	False	29783.0	Island		imputed_from_region_mix	ambiguous	outside_promoter
72	cg26365545	0.7354172413793104	0.23157692307692307	0.5038403183023874	87	39	5.602546611319146e-22	0.5038403183023874	hypermethylated	5.164495148085132e-21	True	OTP	chr5	77636190	77636192	-	gene_body	False	21436.0	Island		imputed_from_region_mix	ambiguous	outside_promoter
73	cg00193200	0.7179597701149424	0.21502564102564106	0.5029341290893014	87	39	4.783105087528797e-24	0.5029341290893014	hypermethylated	5.276783002185384e-23	True	AC072026.2,STXBP5L	chr3	120907805	120907807	-	gene_body	False	16616.0	S_Shelf		imputed_from_region_mix	ambiguous	outside_promoter
74	cg13782274	0.4149802325581397	0.9177333333333332	-0.5027531007751935	86	39	4.265584633751121e-30	0.5027531007751935	hypomethylated	9.835927902627195e-29	True	KCNQ2	chr20	63466327	63466329	-	5UTR_1stExon	True	177.0	Island		published_manifest	activation	promoter_hypomethylation
75	cg20286956	0.7504755813953488	0.24820000000000006	0.5022755813953487	86	39	4.040609384445263e-20	0.5022755813953487	hypermethylated	3.274204713590306e-19	True	MACF1	chr1	39082245	39082247	+	gene_body	False	829.0	Island		published_manifest	ambiguous	outside_promoter
76	cg02534163	0.5881395348837208	0.08655897435897435	0.5015805605247465	86	39	6.847638358704296e-33	0.5015805605247465	hypermethylated	2.381071211564646e-31	True	ENPP2	chr8	119638753	119638755	-	5UTR_1stExon	True	27.0	OpenSea		published_manifest	silencing	promoter_hypermethylation
77	cg18438793	0.6501689655172411	0.1495076923076923	0.5006612732095488	87	39	3.073065282292663e-27	0.5006612732095488	hypermethylated	4.851557661182727e-26	True	HPCAL4	chr1	39684164	39684166	-	gene_body	False	7269.0	Island		published_manifest	ambiguous	outside_promoter
78	cg15132565	0.6809517241379309	0.1803666666666667	0.5005850574712642	87	39	2.4963294001056433e-19	0.5005850574712642	hypermethylated	1.910143972727076e-18	True		chr5	73444326	73444328	-	gene_body	False	16225.0	S_Shore		imputed_from_region_mix	ambiguous	outside_promoter
79	cg03582419	0.3762267441860465	0.8764051282051282	-0.5001783840190817	86	39	6.74225846220656e-31	0.5001783840190817	hypomethylated	1.68372581778922e-29	True	AC097518.2,LINC02509	chr4	176883622	176883624	-	gene_body	False	7874.0	OpenSea		published_manifest	ambiguous	outside_promoter
80	cg14858267	0.6857953488372093	0.1864487179487179	0.4993466308884914	86	39	2.45392893914251e-37	0.4993466308884914	hypermethylated	1.8556254221755485e-35	True	AC006058.2	chr3	43996267	43996269	-	TSS1500	True	-628.0	Island		published_manifest	silencing	promoter_hypermethylation
81	cg03306374	0.5851896551724135	0.08600512820512822	0.49918452696728527	87	39	3.2033211813435625e-19	0.49918452696728527	hypermethylated	2.430807537334466e-18	True	PRKCB	chr16	23836003	23836005	+	TSS200	True	-245.0	OpenSea		imputed_from_region_mix	silencing	promoter_hypermethylation
82	cg06335867	0.6776816091954022	0.1785410256410256	0.4991405835543766	87	39	1.5064287897044816e-19	0.4991405835543766	hypermethylated	1.1656788409347073e-18	True	NXPH1	chr7	8442694	8442696	-	gene_body	False	7500.0	Island		published_manifest	ambiguous	outside_promoter
83	cg17508991	0.6593149425287359	0.16077692307692312	0.49853801945181275	87	39	3.065290601339138e-17	0.49853801945181275	hypermethylated	2.038826460503296e-16	True	HCK	chr20	32051501	32051503	-	gene_body	False	36020.0	OpenSea		imputed_from_region_mix	ambiguous	outside_promoter
84	cg27555582	0.5625126436781609	0.0647128205128205	0.4977998231653404	87	39	3.018179089084007e-41	0.4977998231653404	hypermethylated	5.922098541224119e-39	True	ABCC9	chr12	21941074	21941076	+	5UTR_1stExon	True	159.0	Island		published_manifest	silencing	promoter_hypermethylation
85	cg03713642	0.612679069767442	0.11654473684210527	0.49613433292533676	86	38	2.3737549321576714e-29	0.49613433292533676	hypermethylated	4.977637250868033e-28	True	AC130466.1,HS3ST2	chr16	22813778	22813780	+	gene_body	False	26481.0	OpenSea		imputed_from_region_mix	ambiguous	outside_promoter
86	cg00970396	0.6264080459770114	0.13077692307692307	0.4956311229000883	87	39	2.8006881965366334e-16	0.4956311229000883	hypermethylated	1.7605241363583827e-15	True		chr16	9013341	9013343	+	intergenic	True	0.0	OpenSea		published_manifest	silencing	promoter_hypermethylation
87	cg05016408	0.5819885057471264	0.08860789473684211	0.49338061101028424	87	38	4.6932463040762404e-26	0.49338061101028424	hypermethylated	6.577728365968078e-25	True	ZNF300P1	chr5	150946611	150946613	+	TSS1500	True	-322.0	Island		published_manifest	silencing	promoter_hypermethylation
88	cg04865841	0.6746701149425284	0.1827846153846154	0.49188549955791294	87	39	3.842015791871763e-31	0.49188549955791294	hypermethylated	1.007073801204502e-29	True	WRAP73	chr1	3650427	3650429	+	intergenic	False	5177.0	OpenSea		imputed_from_region_mix	ambiguous	outside_promoter
89	cg12427162	0.7746229885057472	0.28406666666666663	0.49055632183908054	87	39	4.7123649700820266e-17	0.49055632183908054	hypermethylated	3.074790159813617e-16	True	SFT2D2	chr1	168229249	168229251	+	5UTR_1stExon	False	19785.0	OpenSea		imputed_from_region_mix	ambiguous	outside_promoter
90	cg17279458	0.730035632183908	0.24052307692307692	0.48951255526083104	87	39	6.92190726249396e-25	0.48951255526083104	hypermethylated	8.413486393836686e-24	True	ZNF502	chr3	44712455	44712457	+	TSS200	True	-187.0	N_Shore		published_manifest	silencing	promoter_hypermethylation
91	cg26210445	0.6146744186046512	0.1252307692307692	0.489443649373882	86	39	2.9277013639979985e-30	0.489443649373882	hypermethylated	6.873842433250001e-29	True	TBR1	chr2	161416814	161416816	-	5UTR_1stExon	True	484.0	Island		published_manifest	silencing	promoter_hypermethylation
92	cg09313140	0.3258802325581395	0.8147000000000001	-0.48881976744186056	86	39	1.3091327524619366e-24	0.48881976744186056	hypomethylated	1.550080892677991e-23	True		chr12	127825047	127825049	+	intergenic	False	19229.0	Island		imputed_from_region_mix	ambiguous	outside_promoter
93	cg21026830	0.5975022988505746	0.10872307692307694	0.4887792219274977	87	39	1.3419096016688319e-27	0.4887792219274977	hypermethylated	2.181198624724427e-26	True	C14orf39	chr14	60506798	60506800	-	gene_body	False	8745.0	N_Shore		published_manifest	ambiguous	outside_promoter
94	cg05057720	0.6338540229885057	0.14529736842105262	0.48855665456745306	87	38	5.7710328726344285e-16	0.48855665456745306	hypermethylated	3.562478045197028e-15	True	AL355835.1,CLEC14A	chr14	38255469	38255471	+	TSS200	True	-1421.0	OpenSea		imputed_from_region_mix	silencing	promoter_hypermethylation
95	cg11799593	0.7258604651162789	0.23788205128205123	0.4879784138342277	86	39	3.5781218492672377e-14	0.4879784138342277	hypermethylated	2.0266187051416706e-13	True	LINC02384	chr12	68452088	68452090	-	TSS1500	True	-425.0	OpenSea		published_manifest	silencing	promoter_hypermethylation
96	cg23200020	0.5747593023255813	0.08825263157894739	0.4865066707466339	86	38	3.26950154080484e-23	0.4865066707466339	hypermethylated	3.3512390793249613e-22	True	SCGB1B2P	chr19	34577649	34577651	+	gene_body	False	30493.0	S_Shore		imputed_from_region_mix	ambiguous	outside_promoter
97	cg07519235	0.6025103448275863	0.11651538461538462	0.4859949602122016	87	39	2.1561157170882705e-26	0.4859949602122016	hypermethylated	3.100968520859413e-25	True	GPRC5B	chr16	19883655	19883657	+	gene_body	False	38999.0	Island		imputed_from_region_mix	ambiguous	outside_promoter
