probe_id	tumor_mean_beta	normal_mean_beta	delta_beta	tumor_n	normal_n	p_value	fdr	abs_delta_beta	direction	gene	chrom	chromStart	chromEnd	strand	genes_all	gene_nearest	dist_to_tss	functional_region	is_promoter	cgi_relation	cgi_id	predicted_expression_effect	mechanics_basis
cg20981848	0.7729561123146018	0.2365205486615499	0.5364355636530519	394	24	2.982156678501577e-25	1.1232707466932431e-24	0.5364355636530519	hypermethylated	AL035448.1,BTBD3	chr20	11918609.0	11918611.0	-	AL035448.1;BTBD3	AL035448.1	68.0	5UTR_1stExon	True	OpenSea		silencing	promoter_hypermethylation
cg11426075	0.6995382340227971	0.1665763421492143	0.5329618918735828	305	22	1.9244291457290008e-84	3.612392151531258e-83	0.5329618918735828	hypermethylated	AL034417.2,ERRFI1	chr1	8026898.0	8026900.0	+	AL034417.2;ERRFI1	AL034417.2	161.0	5UTR_1stExon	True	S_Shore	CGI:chr1:8025494-8026794	silencing	promoter_hypermethylation
cg21199093	0.772750000700547	0.2415140718221664	0.5312359288783806	697	64	5.696308737690112e-57	5.033775460115906e-56	0.5312359288783806	hypermethylated	ZMYM4	chr1	35370407.0	35370409.0	+	ZMYM4	ZMYM4	8691.0	gene_body	False	OpenSea		ambiguous	non_promoter_or_intergenic
cg27429080	0.6016984384271163	0.074379709578052	0.5273187288490644	790	97	9.652005062769609e-148	1.701379012140293e-145	0.5273187288490644	hypermethylated	DNM3	chr1	171841159.0	171841161.0	+	DNM3	DNM3	-338.0	TSS1500	True	N_Shore	CGI:chr1:171841327-171842185	silencing	promoter_hypermethylation
cg17154724	0.5923721506625791	0.0651972220116055	0.5271749286509736	790	97	1.3031072712729889e-149	2.4752219911360097e-147	0.5271749286509736	hypermethylated	DNM3	chr1	171841181.0	171841183.0	+	DNM3	DNM3	-316.0	TSS1500	True	N_Shore	CGI:chr1:171841327-171842185	silencing	promoter_hypermethylation
cg12468774	0.6240608873706178	0.0986818136628141	0.5253790737078037	788	97	2.5968939293633995e-184	2.2735725367358392e-181	0.5253790737078037	hypermethylated	IHO1	chr3	49199426.0	49199428.0	+	IHO1	IHO1	-71.0	TSS200	True	Island	CGI:chr3:49199215-49199895	silencing	promoter_hypermethylation
cg20395967	0.6244793878644517	0.099467523319205	0.5250118645452466	791	97	8.739273237337234e-141	1.1750416060242758e-138	0.5250118645452466	hypermethylated	MIR663A,MIR663AHG	chr20	26209710.0	26209712.0	-	MIR663A;MIR663AHG	MIR663AHG	129.0	5UTR_1stExon	True	Island	CGI:chr20:26208002-26209712	silencing	promoter_hypermethylation
cg08481075	0.6458242441152597	0.1212202975624486	0.5246039465528112	770	95	1.2361849150095824e-136	1.3952687598481513e-134	0.5246039465528112	hypermethylated	COL11A2	chr6	33193550.0	33193552.0	-	COL11A2	COL11A2	-1051.0	TSS1500	True	Island	CGI:chr6:33193168-33193560	silencing	promoter_hypermethylation
cg14553895	0.7544861482319078	0.2301971912384033	0.5242889569935045	475	30	5.5962770157961656e-46	3.715915231910544e-45	0.5242889569935045	hypermethylated	PIK3CA	chr3	179181381.0	179181383.0	-	PIK3CA	PIK3CA	31855.0	gene_body	False	OpenSea		ambiguous	non_promoter_or_intergenic
cg21039708	0.6724275654259744	0.1485247661157981	0.5239027993101762	789	97	7.864599720551381e-103	2.6212054188526116e-101	0.5239027993101762	hypermethylated	OTX2,OTX2-AS1	chr14	56812010.0	56812012.0	+	OTX2;OTX2-AS1	OTX2-AS1	-1172.0	TSS1500	True	Island	CGI:chr14:56811991-56812398	silencing	promoter_hypermethylation
cg00564737	0.6930454317377417	0.1697218304588681	0.5233236012788736	543	42	3.588443430940096e-135	3.819878076281363e-133	0.5233236012788736	hypermethylated	BX248415.1	chr1	196878051.0	196878053.0	+	BX248415.1	BX248415.1	27769.0	gene_body	False	Island	CGI:chr1:196878028-196878288	ambiguous	non_promoter_or_intergenic
cg02534163	0.5875249583250398	0.0671550170662476	0.5203699412587921	785	97	1.8555191355870472e-223	1.7364113005857863e-219	0.5203699412587921	hypermethylated	ENPP2	chr8	119638753.0	119638755.0	-	ENPP2	ENPP2	27.0	5UTR_1stExon	True	OpenSea		silencing	promoter_hypermethylation
cg10715092	0.6719601097058707	0.1524220004524152	0.5195381092534554	791	97	1.4513320867179382e-108	5.886316675008551e-107	0.5195381092534554	hypermethylated	MIR663A,MIR663AHG	chr20	26209717.0	26209719.0	-	MIR663A;MIR663AHG	MIR663AHG	122.0	5UTR_1stExon	True	S_Shore	CGI:chr20:26208002-26209712	silencing	promoter_hypermethylation
cg15219228	0.6270535738598106	0.1078770037778874	0.5191765700819232	789	97	1.434551681267999e-90	3.235724674373285e-89	0.5191765700819232	hypermethylated	TULP1	chr6	35511850.0	35511852.0	-	TULP1	TULP1	117.0	5UTR_1stExon	True	Island	CGI:chr6:35511611-35512377	silencing	promoter_hypermethylation
cg00076195	0.664398978960396	0.1459880883877094	0.5184108905726866	505	52	1.2328622057313995e-121	7.975046619114786e-120	0.5184108905726866	hypermethylated		chr5	141513109.0	141513111.0	+				intergenic	False	Island	CGI:chr5:141512694-141513622	ambiguous	non_promoter_or_intergenic
cg10903903	0.6027451537149336	0.0852511691063949	0.5174939846085387	782	97	3.642401061863251e-159	1.0385010702542187e-156	0.5174939846085387	hypermethylated	AL009179.2	chr6	27680063.0	27680065.0	+	AL009179.2	AL009179.2	492.0	5UTR_1stExon	True	Island	CGI:chr6:27680014-27680226	silencing	promoter_hypermethylation
cg18438793	0.6369879095403997	0.1202167383829752	0.5167711711574244	666	75	1.671668387377727e-183	1.4051156911820045e-180	0.5167711711574244	hypermethylated	HPCAL4	chr1	39684164.0	39684166.0	-	HPCAL4	HPCAL4	7269.0	gene_body	False	Island	CGI:chr1:39683759-39684341	ambiguous	non_promoter_or_intergenic
cg01408508	0.7772707359813084	0.2624426417880588	0.5148280941932495	535	36	1.1410296762969056e-43	7.1281812681406795e-43	0.5148280941932495	hypermethylated	MIR663AHG	chr20	26208002.0	26208004.0	+	MIR663AHG	MIR663AHG	41.0	5UTR_1stExon	True	Island	CGI:chr20:26208002-26209712	silencing	promoter_hypermethylation
cg00970396	0.6257155619740636	0.111171938709377	0.5145436232646866	791	97	8.919604481328516e-103	2.9664905398437655e-101	0.5145436232646866	hypermethylated		chr16	9013341.0	9013343.0	+				intergenic	False	OpenSea		ambiguous	non_promoter_or_intergenic
cg27563985	0.7009049207457502	0.1883739536091432	0.512530967136607	614	59	2.4134265650992572e-113	1.154524269607189e-111	0.512530967136607	hypermethylated	CBLN4	chr20	56005620.0	56005622.0	-	CBLN4	CBLN4	-101.0	TSS200	True	Island	CGI:chr20:56003547-56005622	silencing	promoter_hypermethylation
cg00991875	0.6294698208193236	0.1171095543300982	0.5123602664892253	790	97	1.384821002836379e-121	8.940173413896042e-120	0.5123602664892253	hypermethylated		chr6	160679343.0	160679345.0	-				intergenic	False	Island	CGI:chr6:160679060-160679424	ambiguous	non_promoter_or_intergenic
cg07149609	0.6089434328332411	0.0982062546248288	0.5107371782084122	791	97	3.1304697253348733e-109	1.2989305625329289e-107	0.5107371782084122	hypermethylated	PRRX1	chr1	170661592.0	170661594.0	+	PRRX1	PRRX1	-1135.0	TSS1500	True	Island	CGI:chr1:170661315-170661656	silencing	promoter_hypermethylation
cg26354493	0.7941642294124681	0.2843832373619079	0.5097809920505602	784	96	2.113379373204414e-86	4.205725822823136e-85	0.5097809920505602	hypermethylated	FSD1	chr19	4305074.0	4305076.0	-	FSD1	FSD1	375.0	5UTR_1stExon	True	Island	CGI:chr19:4304545-4305125	silencing	promoter_hypermethylation
cg09887059	0.6496261808875237	0.1404940811629147	0.5091320997246089	791	97	1.430505268401772e-79	2.342897462654573e-78	0.5091320997246089	hypermethylated	LHX5-AS1	chr12	113478858.0	113478860.0	-	LHX5-AS1	LHX5-AS1	6856.0	gene_body	False	Island	CGI:chr12:113478628-113478912	ambiguous	non_promoter_or_intergenic
cg11213690	0.6345494071844265	0.126755016366231	0.5077943908181954	788	97	9.990739873678528e-112	4.525861049014909e-110	0.5077943908181954	hypermethylated		chr7	149415310.0	149415312.0	-				intergenic	False	Island	CGI:chr7:149415215-149415454	ambiguous	non_promoter_or_intergenic
cg27092191	0.8270928775562959	0.3203553950532953	0.5067374825030005	680	47	2.372329411821996e-31	1.0666123527220013e-30	0.5067374825030005	hypermethylated	ZNF267	chr16	31873377.0	31873379.0	+	ZNF267	ZNF267	-429.0	TSS1500	True	N_Shore	CGI:chr16:31873721-31874279	silencing	promoter_hypermethylation
cg10168086	0.2380332317981091	0.7447005440207088	-0.5066673122225998	728	68	1.9497388800140005e-85	3.7685883266086e-84	0.5066673122225998	hypomethylated		chr16	26488644.0	26488646.0	+				intergenic	False	OpenSea		ambiguous	non_promoter_or_intergenic
cg02027945	0.5726348554867867	0.0675833197845809	0.5050515357022057	758	87	7.457100384023663e-210	3.1720094657754955e-206	0.5050515357022057	hypermethylated	AC090707.2	chr11	20596683.0	20596685.0	+	AC090707.2	AC090707.2	296.0	5UTR_1stExon	True	Island	CGI:chr11:20596651-20598374	silencing	promoter_hypermethylation
cg08364561	0.6545069100130373	0.1503191190896575	0.5041877909233798	791	97	1.5475675232709655e-84	2.9130267745160444e-83	0.5041877909233798	hypermethylated	AL035078.4,PAUPAR	chr11	31825296.0	31825298.0	-	AL035078.4;PAUPAR	PAUPAR	-1026.0	TSS1500	True	N_Shore	CGI:chr11:31825585-31825832	silencing	promoter_hypermethylation
cg12134633	0.7664368215915376	0.262770131691215	0.5036666899003226	791	97	2.112495908300428e-70	2.6715565089883367e-69	0.5036666899003226	hypermethylated	AC123768.4,SCG5	chr15	32641802.0	32641804.0	+	AC123768.4;SCG5	SCG5	101.0	5UTR_1stExon	True	OpenSea		silencing	promoter_hypermethylation
cg17279458	0.7214783278678911	0.2189363439877828	0.5025419838801083	433	24	3.562356000697385e-50	2.6438228911171237e-49	0.5025419838801083	hypermethylated	ZNF502	chr3	44712455.0	44712457.0	+	ZNF502	ZNF502	-187.0	TSS200	True	N_Shore	CGI:chr3:44712607-44712907	silencing	promoter_hypermethylation
cg13539545	0.5870933484488583	0.0846894352706437	0.5024039131782145	791	97	1.7340617374820453e-107	6.75708036011857e-106	0.5024039131782145	hypermethylated	C14orf39	chr14	60507104.0	60507106.0	-	C14orf39	C14orf39	8439.0	gene_body	False	Island	CGI:chr14:60507054-60507405	ambiguous	non_promoter_or_intergenic
cg17485838	0.7555625765931373	0.2538726083163557	0.5016899682767816	714	58	2.2350580629559888e-69	2.7465471450105e-68	0.5016899682767816	hypermethylated	AC004079.1,AC004079.2;AC004079.4;AC004079.5;HOTAIRM1	chr7	27099092.0	27099094.0	+	AC004079.1;AC004079.2;AC004079.4;AC004079.5;HOTAIRM1	AC004079.4	193.0	5UTR_1stExon	True	S_Shore	CGI:chr7:27095723-27097117	silencing	promoter_hypermethylation
cg06962177	0.6535308876471634	0.1520936612001399	0.5014372264470235	791	97	8.717562393421777e-83	1.562696905220253e-81	0.5014372264470235	hypermethylated		chr1	63320274.0	63320276.0	+				intergenic	False	Island	CGI:chr1:63316723-63324800	ambiguous	non_promoter_or_intergenic
cg12598524	0.6609499976748512	0.1606147998088115	0.5003351978660397	735	74	6.149352666025757e-156	1.5277749254281825e-153	0.5003351978660397	hypermethylated	PRKCE	chr2	45861185.0	45861187.0	+	PRKCE	PRKCE	185567.0	gene_body	False	OpenSea		ambiguous	non_promoter_or_intergenic
cg10528576	0.7520046448439694	0.2517950898509914	0.5002095549929779	712	59	2.7814072904406217e-42	1.6766240333618834e-41	0.5002095549929779	hypermethylated	DLK1	chr14	100726575.0	100726577.0	+	DLK1	DLK1	-316.0	TSS1500	True	Island	CGI:chr14:100726036-100727400	silencing	promoter_hypermethylation
cg15613420	0.6535386066047513	0.1539082969586873	0.4996303096460639	784	97	1.0576201344706467e-122	7.088630356636511e-121	0.4996303096460639	hypermethylated	AC026691.1,MACROH2A1	chr5	135399946.0	135399948.0	-	AC026691.1;MACROH2A1	MACROH2A1	-32.0	TSS200	True	S_Shore	CGI:chr5:135398406-135399571	silencing	promoter_hypermethylation
cg11799593	0.7293757076921135	0.2310917481132175	0.4982839595788959	464	23	3.21326608867374e-18	9.682172167875336e-18	0.4982839595788959	hypermethylated	LINC02384	chr12	68452088.0	68452090.0	-	LINC02384	LINC02384	-425.0	TSS1500	True	OpenSea		silencing	promoter_hypermethylation
cg09170112	0.4174461903406811	0.9154573139391448	-0.4980111235984636	779	95	1.1042509306521806e-204	3.297982456813208e-201	0.4980111235984636	hypomethylated		chr12	131617642.0	131617644.0	+				intergenic	False	OpenSea		ambiguous	non_promoter_or_intergenic
cg27393010	0.6192962993713456	0.1213542800588706	0.4979420193124749	791	97	4.994990449749156e-93	1.2139083611817096e-91	0.4979420193124749	hypermethylated		chr7	122300161.0	122300163.0	-				intergenic	False	Island	CGI:chr7:122299952-122300594	ambiguous	non_promoter_or_intergenic
cg23205034	0.3415282193352194	0.8390037722703887	-0.4974755529351692	544	41	2.8116521544111462e-132	2.68304120859437e-130	0.4974755529351692	hypomethylated	CPQ	chr8	97104218.0	97104220.0	-	CPQ	CPQ	74750.0	gene_body	False	OpenSea		ambiguous	non_promoter_or_intergenic
cg12438155	0.3202003041903178	0.8175006665681538	-0.497300362377836	768	76	1.3772311829223352e-113	6.653336381383002e-112	0.497300362377836	hypomethylated		chr1	4163832.0	4163834.0	+				intergenic	False	S_Shelf	CGI:chr1:4161327-4161612	ambiguous	non_promoter_or_intergenic
cg03582419	0.3898737086662404	0.8871477912454044	-0.497274082579164	617	85	4.7706804284721546e-172	2.486386532123296e-169	0.497274082579164	hypomethylated	AC097518.2,LINC02509	chr4	176883622.0	176883624.0	-	AC097518.2;LINC02509	LINC02509	7874.0	gene_body	False	OpenSea		ambiguous	non_promoter_or_intergenic
cg08604097	0.5685516903772379	0.0714779981632822	0.4970736922139556	782	97	9.533921478212735e-236	2.509292380860049e-231	0.4970736922139556	hypermethylated	NXPH1	chr7	8441234.0	8441236.0	+	NXPH1	NXPH1	6040.0	gene_body	False	N_Shore	CGI:chr7:8442344-8443132	ambiguous	non_promoter_or_intergenic
cg16370398	0.8270687238878961	0.3302774596632573	0.4967912642246388	647	57	4.0368469592236777e-32	1.854205591486355e-31	0.4967912642246388	hypermethylated	HOXC4	chr12	54055128.0	54055130.0	-	HOXC4	HOXC4	1294.0	gene_body	False	S_Shore	CGI:chr12:54053960-54054252	ambiguous	non_promoter_or_intergenic
cg09165441	0.6382535025383217	0.141694884939292	0.4965586175990296	791	97	3.341077595590492e-90	7.451011759728296e-89	0.4965586175990296	hypermethylated		chr10	101284436.0	101284438.0	+				intergenic	False	Island	CGI:chr10:101284233-101284723	ambiguous	non_promoter_or_intergenic
cg07790615	0.5433933340041285	0.0474746890903748	0.4959186449137536	791	97	2.58627161414313e-209	1.0274671552059151e-205	0.4959186449137536	hypermethylated	RYR2	chr1	237041873.0	237041875.0	+	RYR2	RYR2	-310.0	TSS1500	True	Island	CGI:chr1:237041826-237043344	silencing	promoter_hypermethylation
cg00106345	0.6064546815908639	0.1119595163876248	0.494495165203239	785	97	1.462588146637323e-209	6.038395537088523e-206	0.494495165203239	hypermethylated	AC004079.1,AC004079.2;AC004079.4;AC004079.5;HOTAIRM1	chr7	27098776.0	27098778.0	-	AC004079.1;AC004079.2;AC004079.4;AC004079.5;HOTAIRM1	HOTAIRM1	-62.0	TSS200	True	S_Shore	CGI:chr7:27095723-27097117	silencing	promoter_hypermethylation
cg26014538	0.7126812753430604	0.2189248826768663	0.493756392666194	657	45	3.9789356990161454e-24	1.447615101734358e-23	0.493756392666194	hypermethylated	ZIC1	chr3	147408975.0	147408977.0	+	ZIC1	ZIC1	-389.0	TSS1500	True	N_Shore	CGI:chr3:147409201-147411212	silencing	promoter_hypermethylation
cg21026830	0.5899446614583334	0.0964480188157823	0.493496642642551	750	90	6.490120900700182e-182	5.0425844519879274e-179	0.493496642642551	hypermethylated	C14orf39	chr14	60506798.0	60506800.0	-	C14orf39	C14orf39	8745.0	gene_body	False	N_Shore	CGI:chr14:60507054-60507405	ambiguous	non_promoter_or_intergenic
cg00334063	0.6666287361307347	0.1737780791062575	0.4928506570244771	752	65	1.252489710776227e-66	1.428721055513233e-65	0.4928506570244771	hypermethylated	ZIC4	chr3	147388222.0	147388224.0	+	ZIC4	ZIC4	4169.0	gene_body	False	N_Shelf	CGI:chr3:147390724-147393916	ambiguous	non_promoter_or_intergenic
cg04311653	0.3717177592396887	0.8644859864539707	-0.492768227214282	791	97	1.6959071381770142e-168	7.393066652031833e-166	0.492768227214282	hypomethylated		chr10	131405977.0	131405979.0	+				intergenic	False	OpenSea		ambiguous	non_promoter_or_intergenic
cg27555582	0.5530323086656289	0.0603090315749964	0.4927232770906324	788	97	4.191494703154582e-234	7.674335219235818e-230	0.4927232770906324	hypermethylated	ABCC9	chr12	21941074.0	21941076.0	+	ABCC9	ABCC9	159.0	5UTR_1stExon	True	Island	CGI:chr12:21941020-21942423	silencing	promoter_hypermethylation
cg27071152	0.6795041603810342	0.1868988076845804	0.4926053526964538	782	96	3.208321129136709e-71	4.1541953201588906e-70	0.4926053526964538	hypermethylated	AC004837.1,AC004837.3;YAE1	chr7	39609843.0	39609845.0	-	AC004837.1;AC004837.3;YAE1	AC004837.1	127.0	5UTR_1stExon	True	Island	CGI:chr7:39609654-39609911	silencing	promoter_hypermethylation
cg18322569	0.6686840105906091	0.1779790268730871	0.4907049837175219	786	97	6.206142698863419e-70	7.745520646343338e-69	0.4907049837175219	hypermethylated	BARHL2	chr1	90717219.0	90717221.0	-	BARHL2	BARHL2	83.0	5UTR_1stExon	True	Island	CGI:chr1:90716540-90718983	silencing	promoter_hypermethylation
cg03738025	0.710586567142067	0.2208659181889799	0.4897206489530871	791	97	6.384537143154324e-64	6.778996935282242e-63	0.4897206489530871	hypermethylated	LIN28B,LIN28B-AS1	chr6	104940818.0	104940820.0	-	LIN28B;LIN28B-AS1	LIN28B	-47.0	TSS200	True	Island	CGI:chr6:104940315-104941670	silencing	promoter_hypermethylation
cg08732352	0.7259982051498933	0.2362982517964131	0.4896999533534802	762	74	9.852385442173648e-40	5.559843271729624e-39	0.4896999533534802	hypermethylated	AC009531.1	chr7	35258779.0	35258781.0	-	AC009531.1	AC009531.1	950.0	gene_body	False	S_Shore	CGI:chr7:35257310-35258607	ambiguous	non_promoter_or_intergenic
cg05016408	0.5644199453322535	0.0753280059578492	0.4890919393744042	791	97	5.083295487378463e-198	9.388802174876728e-195	0.4890919393744042	hypermethylated	ZNF300P1	chr5	150946611.0	150946613.0	+	ZNF300P1	ZNF300P1	-322.0	TSS1500	True	Island	CGI:chr5:150946342-150946632	silencing	promoter_hypermethylation
cg02710296	0.7418072937400477	0.2532522502698396	0.488555043470208	785	95	1.8914559499953278e-70	2.395184426180522e-69	0.488555043470208	hypermethylated	SHCBP1L	chr1	182952715.0	182952717.0	-	SHCBP1L	SHCBP1L	34.0	5UTR_1stExon	True	Island	CGI:chr1:182952684-182953509	silencing	promoter_hypermethylation
cg13782274	0.4298498488859039	0.9181609792807668	-0.4883111303948628	791	97	7.745502565556965e-153	1.6778495717036804e-150	0.4883111303948628	hypomethylated	KCNQ2	chr20	63466327.0	63466329.0	-	KCNQ2	KCNQ2	177.0	5UTR_1stExon	True	Island	CGI:chr20:63465840-63466901	activation	promoter_hypomethylation
cg15959252	0.8290496786383638	0.3421798819926248	0.486869796645739	767	67	1.3285692977651648e-29	5.68645699942147e-29	0.486869796645739	hypermethylated	CCDC184	chr12	48184940.0	48184942.0	+	CCDC184	CCDC184	1297.0	gene_body	False	S_Shore	CGI:chr12:48183578-48184791	ambiguous	non_promoter_or_intergenic
cg04917275	0.3592972057135035	0.846138494986075	-0.4868412892725714	239	27	2.4358660103583376e-67	2.8323870087421056e-66	0.4868412892725714	hypomethylated		chr2	593390.0	593392.0	-				intergenic	False	OpenSea		ambiguous	non_promoter_or_intergenic
cg14858267	0.6764921300551471	0.1903817534446716	0.4861103766104754	340	40	1.0541340314281652e-106	4.0053288686352106e-105	0.4861103766104754	hypermethylated	AC006058.2	chr3	43996267.0	43996269.0	-	AC006058.2	AC006058.2	-628.0	TSS1500	True	Island	CGI:chr3:43994915-43999612	silencing	promoter_hypermethylation
cg00002719	0.5199964212256044	0.0339006664826697	0.4860957547429346	791	97	6.735705116495551e-254	5.672999448855815e-249	0.4860957547429346	hypermethylated	CCDC181	chr1	169427467.0	169427469.0	-	CCDC181	CCDC181	-5.0	TSS200	True	Island	CGI:chr1:169427383-169427631	silencing	promoter_hypermethylation
cg19619405	0.5468792053299818	0.0615446395480755	0.4853345657819062	791	97	2.2269204295411735e-195	3.512312246313865e-192	0.4853345657819062	hypermethylated	ADAMTS20	chr12	43552088.0	43552090.0	-	ADAMTS20	ADAMTS20	115.0	5UTR_1stExon	True	Island	CGI:chr12:43550916-43552482	silencing	promoter_hypermethylation
cg06335867	0.6603999276528919	0.1752145904855629	0.4851853371673289	791	97	2.1903713530866877e-78	3.46583017202881e-77	0.4851853371673289	hypermethylated	NXPH1	chr7	8442694.0	8442696.0	-	NXPH1	NXPH1	7500.0	gene_body	False	Island	CGI:chr7:8442344-8443132	ambiguous	non_promoter_or_intergenic
cg08304190	0.5642918956523039	0.0791592155535196	0.4851326800987842	784	97	1.2593897412601784e-176	7.927453684619414e-174	0.4851326800987842	hypermethylated	MIR663A,MIR663AHG	chr20	26208360.0	26208362.0	-	MIR663A;MIR663AHG	MIR663AHG	74.0	5UTR_1stExon	True	Island	CGI:chr20:26208002-26209712	silencing	promoter_hypermethylation
cg05809668	0.5609696071156961	0.0761215563901921	0.484848050725504	791	97	2.3397619182327525e-141	3.2094674281259523e-139	0.484848050725504	hypermethylated		chr7	35261576.0	35261578.0	+				intergenic	False	Island	CGI:chr7:35261539-35262070	ambiguous	non_promoter_or_intergenic
cg06463958	0.5441741554104552	0.0593682810203316	0.4848058743901235	784	97	1.041836040635587e-171	5.337369129151029e-169	0.4848058743901235	hypermethylated	LNCDAT,TBXT	chr6	166168904.0	166168906.0	+	LNCDAT;TBXT	TBXT	-204.0	TSS1500	True	Island	CGI:chr6:166166485-166169935	silencing	promoter_hypermethylation
cg18423935	0.7425552933304398	0.258252603667123	0.4843026896633168	405	28	2.3565597916956665e-59	2.2190476959820417e-58	0.4843026896633168	hypermethylated	AC072026.2,STXBP5L	chr3	120907819.0	120907821.0	-	AC072026.2;STXBP5L	AC072026.2	86.0	5UTR_1stExon	True	N_Shore	CGI:chr3:120908033-120908719	silencing	promoter_hypermethylation
cg03502002	0.5782144693598886	0.0943293817264517	0.4838850876334368	791	97	5.728359571181555e-91	1.3085394154914829e-89	0.4838850876334368	hypermethylated	GALR1	chr18	77250176.0	77250178.0	+	GALR1	GALR1	329.0	5UTR_1stExon	True	Island	CGI:chr18:77249600-77251866	silencing	promoter_hypermethylation
cg13916459	0.7427426451387704	0.2591486442379835	0.4835940009007869	733	82	6.412038783287418e-50	4.7279846267536865e-49	0.4835940009007869	hypermethylated	ALX1	chr12	85279442.0	85279444.0	-	ALX1	ALX1	-777.0	TSS1500	True	N_Shore	CGI:chr12:85280100-85280922	silencing	promoter_hypermethylation
cg26210445	0.5876705523618718	0.1045107146104176	0.4831598377514541	776	96	1.2847083174159556e-171	6.502507913224789e-169	0.4831598377514541	hypermethylated	TBR1	chr2	161416814.0	161416816.0	-	TBR1	TBR1	484.0	5UTR_1stExon	True	Island	CGI:chr2:161416783-161417214	silencing	promoter_hypermethylation
cg05422029	0.5850138579312778	0.1021474464652464	0.4828664114660314	786	97	3.5934702070116086e-207	1.2203714618995858e-203	0.4828664114660314	hypermethylated	AL021808.1	chr6	27268063.0	27268065.0	-	AL021808.1	AL021808.1	-49.0	TSS200	True	OpenSea		silencing	promoter_hypermethylation
cg01764252	0.6378125035485556	0.1550410495084875	0.482771454040068	688	68	2.153107820762976e-145	3.433183819889359e-143	0.482771454040068	hypermethylated	AC008525.1,MEF2C-AS2	chr5	88695253.0	88695255.0	-	AC008525.1;MEF2C-AS2	AC008525.1	-212.0	TSS1500	True	OpenSea		silencing	promoter_hypermethylation
